task_display,task,strategy,factor,bin,n,micro_f1,macro_f1,micro_p,micro_r
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,length_bin,long,4143,0.6799498581513492,0.6609601604729107,0.5320232646178201,0.9418179602778116
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,transition_bin,low,5340,0.6704041272570938,0.6485452785000385,0.5208283233132932,0.9405066344993968
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,transition_bin,high,7472,0.7037097488749504,0.6903264998908041,0.559811541243902,0.9471801148667732
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,distance_bin,high,4250,0.7198110773749281,0.7100790696311401,0.5847116097623883,0.9360999277382058
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,distance_bin,low,4302,0.6408802635412232,0.5995614900025359,0.4827318456500455,0.953139581389148
forecast-transition,forecast_change_subset,text_plus_vadbert_emoflow,distance_bin,medium,4260,0.7048456348395011,0.6916214838357833,0.5615023780050817,0.94646386997584
forecast-transition,forecast_change_subset,text_plus_all_affective,length_bin,short,4534,0.690271382384638,0.6723658697244892,0.5452744327152277,0.9403160367285928
forecast-transition,forecast_change_subset,text_plus_all_affective,length_bin,medium,4135,0.701770895713919,0.6866007150092495,0.5596643242136863,0.940603141841532
forecast-transition,forecast_change_subset,text_plus_all_affective,length_bin,long,4143,0.6809874674442936,0.6604269922185344,0.5365323231260304,0.9318874131838676
forecast-transition,forecast_change_subset,text_plus_all_affective,transition_bin,low,5340,0.6716055380131164,0.6483766671456024,0.5243410180695148,0.9338962605548854
forecast-transition,forecast_change_subset,text_plus_all_affective,transition_bin,high,7472,0.7043349475762848,0.689910314696354,0.5630391069851353,0.9403069390829488
forecast-transition,forecast_change_subset,text_plus_all_affective,distance_bin,high,4250,0.7200255739146071,0.7093804316866411,0.5873781660527431,0.930060906369361
forecast-transition,forecast_change_subset,text_plus_all_affective,distance_bin,low,4302,0.6432549925281891,0.5998911572422442,0.4870731038266356,0.9468737501666444
forecast-transition,forecast_change_subset,text_plus_all_affective,distance_bin,medium,4260,0.704868342371693,0.6905146141418856,0.5643718012217269,0.9385020865363496
