task_display,task,strategy,seed,n_dev,n_test,include_current,val_micro_f1,val_macro_f1,test_micro_f1,test_macro_f1,test_micro_p,test_micro_r,model_path
transition,change_subset,text_plus_vadbert_emoflow,73,13505,12812,True,0.7290178571428572,0.7139044516685384,0.7222777454968042,0.7045261765496729,0.6094368977734779,0.8863999391496159,finetuned_bert_tiny_change_subset_text_plus_vadbert_emoflow_seed73.pt
transition,change_subset,text_plus_vadbert_emoflow,105,13505,12812,True,0.7184943317312984,0.7014274345852274,0.7231102040192324,0.7055405386727078,0.6045914128309026,0.8994257244998859,finetuned_bert_tiny_change_subset_text_plus_vadbert_emoflow_seed105.pt
transition,change_subset,text_plus_all_affective,12,13505,12812,True,0.7169337567387933,0.701802352001147,0.7235973339174516,0.7044282954681386,0.6146730462519936,0.8794401764661139,finetuned_bert_tiny_change_subset_text_plus_all_affective_seed12.pt
transition,change_subset,text_plus_all_affective,24,13505,12812,True,0.7274884151992586,0.7117742677600155,0.7240438852042398,0.7054987413444571,0.6109629164705267,0.8884916711036739,finetuned_bert_tiny_change_subset_text_plus_all_affective_seed24.pt
transition,change_subset,text_plus_all_affective,42,13505,12812,True,0.7274767193986312,0.7120017131628205,0.7244753050096112,0.7051464166433266,0.6166802463034448,0.8779379326081996,finetuned_bert_tiny_change_subset_text_plus_all_affective_seed42.pt
transition,change_subset,text_plus_all_affective,73,13505,12812,True,0.7321254772778318,0.7174064896339909,0.7217126820626185,0.7039805625798143,0.6139534263383926,0.8753517912831825,finetuned_bert_tiny_change_subset_text_plus_all_affective_seed73.pt
transition,change_subset,text_plus_all_affective,105,13505,12812,True,0.7159567424409623,0.6997848552738136,0.7221373579371868,0.7057107393613729,0.6034465151901965,0.8989503308739636,finetuned_bert_tiny_change_subset_text_plus_all_affective_seed105.pt
forecast-transition,forecast_change_subset,text_only,12,13505,12812,False,0.6873399321658475,0.6702737586397726,0.6894130902682479,0.6688676770219828,0.5558195327603476,0.9075454476306382,finetuned_bert_tiny_forecast_change_subset_text_only_seed12.pt
forecast-transition,forecast_change_subset,text_only,24,13505,12812,False,0.6899214305066378,0.6719903548150978,0.6884852954734028,0.6684013912207111,0.5489748142451625,0.9230622955807408,finetuned_bert_tiny_forecast_change_subset_text_only_seed24.pt
forecast-transition,forecast_change_subset,text_only,42,13505,12812,False,0.6903900145452085,0.6743003962080716,0.6897876742696685,0.6725984963477438,0.5475336573375789,0.931904617022895,finetuned_bert_tiny_forecast_change_subset_text_only_seed42.pt
forecast-transition,forecast_change_subset,text_only,73,13505,12812,False,0.6952332485156912,0.6797131264096989,0.6878397266656313,0.6713219915595623,0.5469742898843606,0.9264280824522704,finetuned_bert_tiny_forecast_change_subset_text_only_seed73.pt
forecast-transition,forecast_change_subset,text_only,105,13505,12812,False,0.689430112328673,0.671730540563138,0.6918486505051662,0.6727227221192478,0.5546186674008811,0.9193161938084734,finetuned_bert_tiny_forecast_change_subset_text_only_seed105.pt
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,12,13505,12812,False,0.6819533469900219,0.6687495139967543,0.6878368028963309,0.671423740758424,0.5425737571670218,0.9393207575872824,finetuned_bert_tiny_forecast_change_subset_text_plus_vadlex_emoflow_seed12.pt
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,24,13505,12812,False,0.6902714550665993,0.6729958603998871,0.6868092396109637,0.6716702699144083,0.5393143848991104,0.9453487487639766,finetuned_bert_tiny_forecast_change_subset_text_plus_vadlex_emoflow_seed24.pt
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,42,13505,12812,False,0.6889199813445266,0.6736142383794408,0.6891346008023934,0.673083838186814,0.5405069313782738,0.950502015668974,finetuned_bert_tiny_forecast_change_subset_text_plus_vadlex_emoflow_seed42.pt
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,73,13505,12812,False,0.6969376979936642,0.6797827400238143,0.6883588507016066,0.6672893870731562,0.5568769389865563,0.9011181258081692,finetuned_bert_tiny_forecast_change_subset_text_plus_vadlex_emoflow_seed73.pt
forecast-transition,forecast_change_subset,text_plus_vadlex_emoflow,105,13505,12812,False,0.6885223225092506,0.6705911122440771,0.6903544538649062,0.6713821830128944,0.5550993974858623,0.912755761770746,finetuned_bert_tiny_forecast_change_subset_text_plus_vadlex_emoflow_seed105.pt
forecast-transition,forecast_change_subset,text_plus_vadbert_global,12,13505,12812,False,0.6878796245168415,0.6706125777571067,0.6898748976967146,0.66887293989401,0.5602183717066224,0.8976192287213813,finetuned_bert_tiny_forecast_change_subset_text_plus_vadbert_global_seed12.pt
forecast-transition,forecast_change_subset,text_plus_vadbert_global,24,13505,12812,False,0.6909920182440137,0.6757099591225553,0.6869356609804375,0.6704750900933726,0.5432961975461615,0.9338252072716208,finetuned_bert_tiny_forecast_change_subset_text_plus_vadbert_global_seed24.pt
forecast-transition,forecast_change_subset,text_plus_vadbert_global,42,13505,12812,False,0.6907421782712883,0.6742910195543415,0.6892574103844092,0.6710380713381059,0.5477140295831465,0.929451585913136,finetuned_bert_tiny_forecast_change_subset_text_plus_vadbert_global_seed42.pt
forecast-transition,forecast_change_subset,text_plus_vadbert_global,73,13505,12812,False,0.6973595581301361,0.6828515726796063,0.6888088662028459,0.6719585989118546,0.5446935096818428,0.9366205217920438,finetuned_bert_tiny_forecast_change_subset_text_plus_vadbert_global_seed73.pt
