task_display,strategy,emotion,f1_mean,f1_std,delta_vs_text_f1_mean,delta_vs_text_f1_std
forecast-transition,text_plus_vadlex_emoflow,anticipation,0.8494454671994971,0.0,4.233120559393733e-05,9.465545327756322e-05
forecast-transition,text_plus_vadlex_emoflow,disgust,0.5434722940310381,0.0035812576822583,-0.0005116009922854,0.0071381441309546
forecast-transition,text_plus_vadlex_emoflow,joy,0.7141155603677314,0.0053528375367018,-0.0009162122644492,0.0024385339317046
forecast-transition,text_plus_vadlex_emoflow,trust,0.6770241446241071,0.0041647004230387,-0.0013381258662622,0.0048910536542439
transition,text_only,anger,0.6116910630435146,0.0041860228376673,0.0,0.0
transition,text_only,anticipation,0.8492615279347046,0.0004113006998073,0.0,0.0
transition,text_only,disgust,0.6084699543600054,0.0033001737990585,0.0,0.0
transition,text_only,fear,0.6518854059936634,0.0056609961761844,0.0,0.0
transition,text_only,joy,0.7436175427720445,0.0018510255212528,0.0,0.0
transition,text_only,sadness,0.6761130572296347,0.0016881544918886,0.0,0.0
transition,text_only,surprise,0.8025806856415985,0.0007418674972168,0.0,0.0
transition,text_only,trust,0.6915091746292317,0.001063181043171,0.0,0.0
transition,text_plus_all_affective,anger,0.6133201084253923,0.0026953968776218,0.0016290453818776,0.0022002904123095
transition,text_plus_all_affective,fear,0.6533200789158581,0.0031307301887531,0.0014346729221946,0.0075161283496052
transition,text_plus_all_affective,disgust,0.6098495682897453,0.0027169443262055,0.0013796139297399,0.0039958532011755
transition,text_plus_all_affective,joy,0.7445584117825408,0.0026161329677873,0.0009408690104963,0.0040448333440739
transition,text_plus_all_affective,surprise,0.8027499784005443,0.0002328921146659,0.0001692927589459,0.0008936216846676
transition,text_plus_all_affective,trust,0.6914993711208481,0.0020206153490899,-9.80350838344357e-06,0.0023610860749721
transition,text_plus_all_affective,anticipation,0.8491945634097599,0.000448630815981,-6.696452494479033e-05,7.130396939122977e-05
transition,text_plus_all_affective,sadness,0.6751315282906863,0.0031326888510989,-0.0009815289389483,0.0037733770770649
transition,text_plus_vadbert_emoflow,trust,0.6928492843554789,0.0026023644503946,0.0013401097262472,0.0023794260003919
transition,text_plus_vadbert_emoflow,joy,0.744886280514262,0.0014255349427328,0.0012687377422174,0.0024693069209194
transition,text_plus_vadbert_emoflow,anger,0.6126033044134765,0.0026710756635532,0.0009122413699619,0.005495897814755
transition,text_plus_vadbert_emoflow,fear,0.6527289543560277,0.0039433792315826,0.0008435483623643,0.007690296351337
transition,text_plus_vadbert_emoflow,surprise,0.8027010006403241,0.0003221515120967,0.0001203149987257,0.0004556211374758
transition,text_plus_vadbert_emoflow,anticipation,0.8487885198295115,0.0008848909512807,-0.000473008105193,0.0007541180040251
transition,text_plus_vadbert_emoflow,disgust,0.6064903035156959,0.0047454768484467,-0.0019796508443094,0.0067375257030146
transition,text_plus_vadbert_emoflow,sadness,0.6739567725133617,0.0038807479507446,-0.0021562847162729,0.0051174244080485
transition,text_plus_vadbert_global,anger,0.6127614526332403,0.0031453168713553,0.0010703895897256,0.0034506946007553
transition,text_plus_vadbert_global,joy,0.7446280603396822,0.0031961138726246,0.0010105175676376,0.0021125973880147
transition,text_plus_vadbert_global,fear,0.6526736933853121,0.0047001076998873,0.0007882873916487,0.0084993640112703
transition,text_plus_vadbert_global,surprise,0.8029678550193898,5.913382377703106e-05,0.0003871693777914,0.0007201015176654
transition,text_plus_vadbert_global,trust,0.6918329267294332,0.0037284586781443,0.0003237521002015,0.0034046227755468
transition,text_plus_vadbert_global,anticipation,0.8493465364944758,0.0001431068624482,8.500855977109368e-05,0.0004849133351532
transition,text_plus_vadbert_global,sadness,0.6760532658781153,0.0020625297460061,-5.979135151932269e-05,0.0022481281635995
transition,text_plus_vadbert_global,disgust,0.6072970572345138,0.004668543322242,-0.0011728971254916,0.0067206765382342
transition,text_plus_vadlex_emoflow,fear,0.6550916555738227,0.0019994877071641,0.0032062495801591,0.0072878279919552
transition,text_plus_vadlex_emoflow,joy,0.7441807692413284,0.000620772615142,0.0005632264692838,0.0021411234845577
